Index,Cluster
0,2
1,0
2,6
3,0
4,0
5,0
6,0
7,0
8,0
9,6
10,0
11,2
12,0
13,6
14,6
15,2
16,0
17,0
18,6
19,0
20,2
21,0
22,0
23,6
24,6
25,0
26,0
27,0
28,6
29,0
30,2
31,6
32,0
33,0
34,0
35,6
36,0
37,0
38,6
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,2
47,0
48,6
49,2
50,6
51,2
52,2
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,6
63,0
64,0
65,0
66,0
67,0
68,6
69,0
70,0
71,0
72,0
73,0
74,6
75,2
76,2
77,0
78,2
79,6
80,6
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,2
89,2
90,2
91,0
92,0
93,0
94,0
95,0
96,2
97,0
98,0
99,2
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,2
109,0
110,0
111,0
112,6
113,6
114,2
115,2
116,2
117,6
118,0
119,0
120,6
121,0
122,0
123,0
124,2
125,2
126,2
127,6
128,0
129,2
130,0
131,0
132,0
133,0
134,0
135,2
136,6
137,6
138,6
139,2
140,0
141,6
142,0
143,2
144,0
145,0
146,6
147,0
148,6
149,0
150,2
151,2
152,2
153,2
154,0
155,0
156,0
157,6
158,6
159,6
160,6
161,0
162,6
163,0
164,0
165,0
166,0
167,0
168,0
169,6
170,6
171,0
172,0
173,0
174,0
175,0
176,0
177,6
178,2
179,6
180,6
181,0
182,6
183,2
184,0
185,2
186,0
187,2
188,2
189,6
190,0
191,0
192,2
193,2
194,2
195,0
196,0
197,0
198,0
199,2
200,0
201,0
202,0
203,2
204,0
205,6
206,0
207,6
208,2
209,0
210,6
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,2
223,0
224,6
225,0
226,2
227,6
228,2
229,0
230,2
231,0
232,0
233,2
234,2
235,0
236,0
237,2
238,0
239,2
240,6
241,6
242,0
243,0
244,0
245,6
246,0
247,0
248,6
249,0
250,0
251,0
252,0
253,0
254,0
255,6
256,0
257,0
258,0
259,0
260,0
261,6
262,0
263,0
264,0
265,6
266,6
267,0
268,0
269,6
270,0
271,6
272,0
273,0
274,0
275,0
276,2
277,0
278,2
279,0
280,0
281,6
282,0
283,6
284,6
285,2
286,6
287,0
288,0
289,6
290,2
291,0
292,0
293,0
294,0
295,0
296,2
297,0
298,0
299,0
300,0
301,0
302,2
303,0
304,0
305,2
306,0
307,2
308,0
309,0
310,0
311,0
312,2
313,2
314,2
315,2
316,0
317,0
318,0
319,0
320,6
321,0
322,0
323,0
324,0
325,0
326,2
327,6
328,0
329,6
330,0
331,2
332,2
333,2
334,2
335,0
336,0
337,0
338,0
339,2
340,0
341,6
342,2
343,2
344,0
345,0
346,0
347,0
348,2
349,0
350,0
351,0
352,6
353,6
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,2
366,6
367,0
368,0
369,0
370,6
371,0
372,0
373,0
374,2
375,2
376,2
377,2
378,0
379,0
380,6
381,0
382,6
383,0
384,0
385,0
386,0
387,0
388,2
389,0
390,0
391,0
392,0
393,2
394,0
395,0
396,6
397,0
398,2
399,0
400,2
401,0
402,0
403,2
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,2
412,6
413,6
414,0
415,6
416,0
417,0
418,0
419,0
420,6
421,6
422,0
423,2
424,0
425,2
426,0
427,0
428,6
429,6
430,0
431,0
432,0
433,2
434,0
435,6
436,0
437,0
438,0
439,2
440,0
441,0
442,0
443,0
444,6
445,0
446,0
447,6
448,0
449,6
450,2
451,2
452,0
453,0
454,6
455,0
456,0
457,0
458,6
459,0
460,6
461,2
462,0
463,0
464,0
465,2
466,0
467,0
468,0
469,2
470,0
471,2
472,6
473,0
474,6
475,0
476,2
477,0
478,0
479,0
480,6
481,0
482,0
483,0
484,6
485,6
486,0
487,2
488,0
489,0
490,6
491,0
492,0
493,0
494,0
495,0
496,6
497,0
498,0
499,0
500,0
501,0
502,6
503,0
504,0
505,0
506,2
507,6
508,0
509,6
510,2
511,0
512,2
513,0
514,0
515,0
516,0
517,0
518,2
519,2
520,6
521,0
522,6
523,0
524,0
525,6
526,2
527,0
528,0
529,0
530,6
531,6
532,0
533,0
534,0
535,6
536,2
537,6
538,2
539,0
540,0
541,0
542,0
543,0
544,0
545,2
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,6
555,2
556,6
557,0
558,0
559,6
560,2
561,2
562,0
563,2
564,0
565,0
566,0
567,2
568,6
569,0
570,2
571,0
572,0
573,2
574,2
575,2
576,0
577,6
578,2
579,0
580,0
581,6
582,0
583,0
584,0
585,0
586,0
587,2
588,0
589,0
590,0
591,6
592,2
593,2
594,0
595,0
596,0
597,0
598,0
599,6
600,6
601,2
602,6
603,0
604,0
605,6
606,6
607,0
608,0
609,0
610,6
611,0
612,0
613,0
614,6
615,2
616,0
617,2
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,2
626,2
627,0
628,0
629,6
630,2
631,0
632,2
633,0
634,0
635,6
636,0
637,2
638,6
639,2
640,6
641,0
642,0
643,0
644,0
645,2
646,0
647,6
648,6
649,0
650,2
651,6
652,6
653,2
654,0
655,2
656,2
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,2
667,2
668,0
669,6
670,0
671,0
672,2
673,6
674,6
675,2
676,0
677,6
678,6
679,2
680,0
681,2
682,2
683,2
684,0
685,0
686,0
687,2
688,0
689,2
690,0
691,6
692,2
693,2
694,6
695,0
696,6
697,0
698,0
699,0
700,6
701,2
702,0
703,0
704,0
705,0
706,6
707,6
708,0
709,0
710,0
711,6
712,0
713,6
714,6
715,0
716,0
717,0
718,6
719,0
720,6
721,0
722,6
723,0
724,0
725,0
726,0
727,0
728,0
729,2
730,0
731,0
732,6
733,2
734,0
735,0
736,2
737,2
738,0
739,6
740,2
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,6
749,2
750,0
751,0
752,6
753,2
754,0
755,6
756,0
757,6
758,0
759,0
760,0
761,0
762,2
763,2
764,0
765,0
766,0
767,0
768,6
769,0
770,2
771,0
772,0
773,6
774,2
775,0
776,0
777,0
778,0
779,0
780,6
781,0
782,0
783,0
784,0
785,2
786,2
787,2
788,0
789,0
790,0
791,0
792,0
793,6
794,0
795,0
796,0
797,0
798,0
799,2
800,0
801,2
802,0
803,6
804,2
805,2
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,6
816,6
817,0
818,0
819,0
820,6
821,6
822,0
823,6
824,6
825,6
826,0
827,0
828,6
829,0
830,6
831,0
832,0
833,0
834,0
835,2
836,0
837,0
838,0
839,0
840,2
841,0
842,0
843,0
844,6
845,2
846,0
847,0
848,6
849,0
850,0
851,6
852,0
853,0
854,0
855,2
856,0
857,0
858,0
859,0
860,0
861,6
862,2
863,6
864,0
865,0
866,2
867,0
868,2
869,6
870,0
871,0
872,6
873,6
874,6
875,0
876,2
877,0
878,2
879,2
880,0
881,6
882,6
883,2
884,2
885,0
886,0
887,0
888,0
889,2
890,0
891,0
892,0
893,2
894,0
895,2
896,2
897,0
898,0
899,6
900,0
901,0
902,0
903,0
904,0
905,6
906,0
907,6
908,0
909,0
910,2
911,2
912,0
913,2
914,2
915,6
916,0
917,2
918,2
919,2
920,0
921,6
922,0
923,0
924,2
925,2
926,2
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,2
935,0
936,0
937,2
938,2
939,6
940,0
941,0
942,0
943,0
944,2
945,0
946,0
947,0
948,6
949,6
950,0
951,6
952,6
953,2
954,0
955,0
956,6
957,6
958,0
959,2
960,0
961,0
962,0
963,6
964,0
965,6
966,0
967,2
968,0
969,0
970,6
971,0
972,0
973,2
974,6
975,0
976,2
977,6
978,6
979,0
980,6
981,2
982,2
983,0
984,0
985,0
986,2
987,0
988,0
989,0
990,0
991,6
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,6
1001,6
1002,0
1003,2
1004,0
1005,2
1006,6
1007,0
1008,0
1009,0
1010,0
1011,0
1012,6
1013,0
1014,6
1015,6
1016,0
1017,0
1018,2
1019,0
1020,0
1021,6
1022,0
1023,0
1024,2
1025,0
1026,6
1027,6
1028,2
1029,2
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,6
1038,0
1039,0
1040,2
1041,6
1042,0
1043,0
1044,2
1045,0
1046,6
1047,0
1048,2
1049,6
1050,0
1051,2
1052,6
1053,2
1054,0
1055,0
1056,6
1057,6
1058,6
1059,6
1060,6
1061,2
1062,0
1063,6
1064,6
1065,0
1066,6
1067,6
1068,0
1069,6
1070,0
1071,0
1072,0
1073,0
1074,2
1075,0
1076,0
1077,0
1078,2
1079,2
1080,0
1081,0
1082,5
1083,0
1084,0
1085,0
1086,0
1087,0
1088,6
1089,0
1090,2
1091,0
1092,0
1093,2
1094,6
1095,2
1096,2
1097,0
1098,0
1099,2
1100,6
1101,2
1102,0
1103,2
1104,2
1105,0
1106,6
1107,0
1108,2
1109,2
1110,0
1111,0
1112,0
1113,0
1114,0
1115,2
1116,6
1117,0
1118,6
1119,6
1120,6
1121,2
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,6
1129,6
1130,2
1131,0
1132,2
1133,2
1134,0
1135,0
1136,6
1137,0
1138,0
1139,0
1140,2
1141,6
1142,0
1143,0
1144,0
1145,0
1146,2
1147,0
1148,6
1149,0
1150,0
1151,0
1152,0
1153,0
1154,6
1155,0
1156,2
1157,0
